user_id,country,age,signup_date,subscription_type,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day
25817,Nigeria,46,2022-05-23,Student,Active,1,0,Yes,Yes,5,10.13,Ambient,Playlists,Mood-based Auto Playlists,Mobile,7,8
26371,Brazil,34,2020-05-17,Student,Active,1,0,Yes,Yes,5,3.9,Jazz,Daily Mix,Vocal Remover,Smart Speaker,8,9
1282,Russia,18,2024-11-23,Free,Inactive,5,1,No,No,3,7.07,Punk,Offline Mode,Better AI Recommendations,Desktop,14,9
29434,India,28,2020-04-23,Premium Family,Active,1,0,Yes,No,3,1.97,Folk,AI DJ,Offline Party Mode,Mobile,11,17
36257,Norway,25,2021-04-03,Free,Active,1,0,No,No,3,8.52,Indie,Offline Mode,Better AI Recommendations,Tablet,12,10
34218,South Africa,35,2019-11-10,Premium Individual,Inactive,4,1,No,No,1,2.83,Jazz,Daily Mix,Mood-based Auto Playlists,Desktop,7,9
39951,Egypt,19,2022-08-08,Premium Individual,Active,0,0,No,No,3,11.12,Bollywood,Daily Mix,AI DJ,Desktop,6,13
6757,Vietnam,38,2024-02-13,Free,Active,2,0,No,No,3,7.93,Rock,Radio,Mood-based Auto Playlists,Tablet,8,12
26653,Russia,57,2022-07-31,Premium Family,Active,1,0,No,No,3,13.67,Classical,Daily Mix,Vocal Remover,Desktop,8,8
3992,Mexico,47,2024-07-24,Premium Duo,Active,0,0,Yes,No,4,11.69,R&B,Lyrics,Concert Alerts,Tablet,7,8
40313,Netherlands,27,2021-07-17,Free,Active,0,0,Yes,Yes,3,15.15,Pop,Offline Mode,AI DJ,Mobile,10,10
24581,Kenya,41,2023-09-28,Student,Inactive,4,1,No,No,2,8.14,Blues,Daily Mix,Song Identification,Smart Speaker,7,11
4950,Mexico,18,2018-09-26,Free,Active,1,0,No,No,4,10.16,Bollywood,Offline Mode,Offline Party Mode,Smart Speaker,5,13
18784,Turkey,35,2018-09-13,Free,Inactive,4,1,No,No,4,8.36,Afrobeat,Radio,HiFi Audio,Car System,12,10
39206,South Africa,18,2020-09-16,Free,Active,1,0,No,No,4,13.75,R&B,Discover Weekly,Offline Party Mode,Smart Speaker,7,14
23785,Brazil,57,2018-05-17,Free,Active,0,0,No,No,4,20.0,Indie,Daily Mix,Lyrics Translation,Mobile,8,6
39509,India,20,2022-05-09,Free,Inactive,4,1,No,No,3,13.77,Country,Discover Weekly,Social Listening,Desktop,4,14
19063,South Korea,35,2018-04-01,Free,Active,2,0,Yes,No,3,12.54,Classical,Podcasts,Offline Party Mode,Desktop,8,13
48141,Indonesia,25,2021-01-23,Premium Individual,Active,4,1,No,No,5,7.78,Pop,Discover Weekly,Offline Party Mode,Mobile,7,10
11315,Sweden,44,2023-09-11,Premium Individual,Active,0,0,No,No,3,5.22,Afrobeat,Radio,Offline Party Mode,Mobile,9,17
767,Mexico,18,2023-08-28,Premium Duo,Inactive,13,1,No,No,1,6.76,Folk,AI DJ,Mood-based Auto Playlists,Car System,12,10
39320,Sweden,33,2024-01-07,Premium Individual,Active,3,1,No,No,2,6.88,Folk,Playlists,Mood-based Auto Playlists,Desktop,3,8
15300,Japan,39,2022-01-09,Premium Duo,Active,2,0,No,No,4,4.66,Punk,Daily Mix,HiFi Audio,Smart Speaker,8,6
10299,South Africa,50,2024-03-14,Premium Individual,Active,6,1,Yes,No,3,17.1,Bollywood,Podcasts,Social Listening,Desktop,4,8
25574,Saudi Arabia,41,2024-09-26,Free,Active,1,0,No,No,4,13.63,Blues,AI DJ,VR Concert Experience,Car System,10,16
18751,Netherlands,38,2018-01-03,Premium Individual,Active,1,0,No,No,4,5.71,Reggae,Playlists,Lyrics Translation,Car System,7,6
19299,Norway,39,2022-08-16,Free,Active,2,0,Yes,No,4,11.29,Electronic,Daily Mix,Mood-based Auto Playlists,Tablet,12,12
11498,Kenya,26,2026-04-16,Free,Active,1,0,No,No,3,11.41,Metal,Daily Mix,VR Concert Experience,Desktop,9,10
42251,Nigeria,24,2020-03-30,Free,Active,0,0,No,No,4,12.22,R&B,Lyrics,Concert Alerts,Mobile,8,6
17502,Sweden,46,2025-01-01,Premium Individual,Active,1,0,No,No,5,12.6,Soul,Playlists,Better AI Recommendations,Mobile,5,5
24291,Sweden,32,2023-04-14,Free,Active,0,0,No,No,5,9.63,Ambient,Lyrics,Offline Party Mode,Desktop,3,13
8591,Italy,49,2022-11-30,Student,Active,1,0,Yes,Yes,3,10.48,K-Pop,Offline Mode,Collaborative Live Queues,Mobile,14,10
8039,Turkey,60,2023-11-14,Free,Active,2,0,No,No,5,10.3,Classical,Podcasts,Concert Alerts,Desktop,5,6
25262,Norway,28,2023-05-08,Premium Duo,Active,0,0,No,No,5,7.04,Jazz,Discover Weekly,Offline Party Mode,Mobile,8,10
32635,Brazil,17,2024-01-12,Premium Individual,Active,0,0,Yes,No,4,9.87,Pop,Radio,Concert Alerts,Desktop,2,11
15074,South Africa,46,2024-10-28,Premium Individual,Inactive,6,1,Yes,No,4,13.81,Ambient,Lyrics,Mood-based Auto Playlists,Mobile,8,12
44175,Brazil,46,2018-06-08,Free,Active,0,0,No,No,4,11.09,Blues,Playlists,Mood-based Auto Playlists,Mobile,8,10
31917,Mexico,17,2020-03-26,Premium Family,Active,2,0,Yes,Yes,2,12.89,Bollywood,Daily Mix,Lyrics Translation,Mobile,7,8
30621,Philippines,54,2023-12-22,Premium Duo,Active,0,0,No,No,4,14.87,Blues,Daily Mix,Collaborative Live Queues,Desktop,6,11
12562,Russia,58,2018-04-10,Premium Individual,Active,0,0,No,No,5,9.88,Rock,Playlists,Lyrics Translation,Mobile,9,6
40302,Nigeria,56,2022-01-28,Free,Active,2,0,No,No,5,10.41,Lo-fi,Offline Mode,HiFi Audio,Desktop,9,11
14717,Indonesia,34,2018-01-03,Premium Individual,Active,0,0,No,No,3,11.97,Folk,Playlists,Lyrics Translation,Car System,12,4
27559,Sweden,21,2022-11-13,Premium Family,Active,2,0,No,No,2,5.4,Afrobeat,Podcasts,Offline Party Mode,Desktop,9,10
32564,France,36,2018-12-06,Premium Individual,Inactive,3,1,Yes,No,4,2.97,K-Pop,AI DJ,Social Listening,Desktop,9,8
31388,UK,20,2023-06-25,Free,Active,0,0,Yes,Yes,3,5.19,Electronic,Radio,Lyrics Translation,Mobile,10,8
45650,Colombia,52,2018-02-08,Free,Active,5,1,Yes,No,5,9.29,Pop,Offline Mode,Mood-based Auto Playlists,Tablet,8,13
22573,Germany,60,2022-08-23,Student,Inactive,3,1,No,No,4,14.81,Lo-fi,Podcasts,Collaborative Live Queues,Desktop,11,6
48428,South Africa,33,2023-07-29,Free,Active,0,0,Yes,No,2,9.96,Punk,Playlists,Music History Analytics,Tablet,10,11
24905,Vietnam,42,2025-06-15,Free,Active,0,0,Yes,No,4,7.24,Techno,Offline Mode,Song Identification,Smart Speaker,4,10
27684,Saudi Arabia,44,2023-10-01,Free,Active,1,0,Yes,Yes,1,14.92,Hip-Hop,Discover Weekly,AI DJ,Desktop,9,6
43496,Germany,50,2023-09-20,Free,Active,1,0,Yes,No,3,8.93,Indie,Podcasts,Better AI Recommendations,Smart Speaker,6,13
25736,Mexico,35,2023-04-13,Premium Individual,Active,1,0,No,No,4,5.66,Folk,Discover Weekly,Music History Analytics,Tablet,9,11
21376,Netherlands,18,2020-07-29,Premium Duo,Inactive,3,1,No,No,4,10.28,Punk,Playlists,Better AI Recommendations,Mobile,12,10
41310,France,31,2020-11-17,Free,Active,1,0,No,No,2,15.4,Techno,Podcasts,Offline Party Mode,Mobile,9,7
7768,Argentina,28,2024-11-21,Student,Inactive,8,1,Yes,No,1,9.38,Techno,Radio,AI DJ,Desktop,6,13
11842,Italy,35,2020-10-16,Free,Active,1,0,Yes,No,4,8.81,Country,AI DJ,AI DJ,Tablet,9,10
5764,Saudi Arabia,58,2021-09-28,Student,Active,0,0,Yes,Yes,4,8.23,Pop,AI DJ,Offline Party Mode,Mobile,5,10
8390,Australia,21,2018-05-10,Premium Family,Active,1,0,No,No,5,2.93,Rock,AI DJ,Concert Alerts,Mobile,4,9
16693,Nigeria,23,2022-03-10,Free,Inactive,4,1,No,No,3,14.03,Jazz,Playlists,Better AI Recommendations,Smart Speaker,11,8
33431,Egypt,47,2022-08-06,Free,Active,1,0,No,No,3,3.25,Jazz,AI DJ,Music History Analytics,Mobile,9,6
2954,Saudi Arabia,23,2019-06-17,Student,Inactive,4,1,Yes,Yes,3,8.89,J-Pop,Offline Mode,Vocal Remover,Car System,4,9
11913,Netherlands,17,2022-05-29,Free,Active,1,0,No,No,4,1.57,Funk,Radio,VR Concert Experience,Tablet,17,17
6073,Philippines,38,2022-01-09,Premium Duo,Active,1,0,Yes,No,3,6.06,Folk,Discover Weekly,Mood-based Auto Playlists,Desktop,14,9
6322,Japan,45,2021-08-29,Premium Duo,Inactive,5,1,No,No,4,7.21,K-Pop,Daily Mix,Better AI Recommendations,Desktop,9,9
26773,South Africa,25,2021-02-05,Premium Duo,Active,1,0,No,No,2,5.5,Jazz,Podcasts,HiFi Audio,Tablet,4,9
24748,Norway,51,2022-02-06,Premium Individual,Active,0,0,Yes,Yes,3,4.68,Classical,AI DJ,Offline Party Mode,Mobile,8,10
20884,Norway,22,2024-07-23,Premium Individual,Active,6,1,No,No,5,4.06,Classical,Radio,Mood-based Auto Playlists,Desktop,10,6
11752,Netherlands,18,2021-05-10,Free,Active,0,0,No,No,5,8.93,Ambient,Podcasts,Music History Analytics,Tablet,6,11
24777,Spain,52,2021-06-01,Free,Active,2,0,No,No,3,4.6,Synthwave,Radio,AI DJ,Mobile,7,5
20643,South Korea,49,2020-04-18,Premium Family,Active,0,0,Yes,Yes,4,11.76,Country,Lyrics,Offline Party Mode,Smart Speaker,4,11
9614,Vietnam,30,2025-09-22,Premium Family,Active,0,0,Yes,No,4,15.6,Funk,Discover Weekly,Lyrics Translation,Desktop,10,8
45335,South Korea,56,2018-09-11,Student,Active,4,1,Yes,No,4,8.19,R&B,Discover Weekly,Concert Alerts,Smart Speaker,6,6
37942,Egypt,19,2024-09-21,Premium Individual,Active,0,0,No,No,4,10.13,Electronic,Offline Mode,Lyrics Translation,Smart Speaker,3,13
2909,Russia,59,2018-10-06,Premium Duo,Active,3,1,No,No,5,12.62,Classical,Radio,Offline Party Mode,Mobile,11,5
13785,Turkey,58,2020-07-09,Premium Family,Active,2,0,No,No,2,7.78,K-Pop,Discover Weekly,Mood-based Auto Playlists,Mobile,12,10
26711,Russia,43,2020-05-28,Premium Family,Active,0,0,Yes,No,3,16.14,Folk,Discover Weekly,Offline Party Mode,Mobile,14,13
1893,Netherlands,47,2021-11-02,Free,Active,2,0,Yes,Yes,5,14.17,Punk,Lyrics,Mood-based Auto Playlists,Smart Speaker,7,12
49929,South Korea,23,2023-02-11,Free,Inactive,4,1,No,No,4,16.56,Indie,Daily Mix,Concert Alerts,Desktop,6,13
23083,Italy,25,2021-09-16,Free,Active,2,0,No,No,3,8.37,Indie,AI DJ,AI DJ,Car System,7,9
27940,Kenya,44,2020-04-21,Free,Inactive,3,1,Yes,No,3,11.04,Pop,Playlists,Vocal Remover,Desktop,9,9
41802,China,59,2021-01-29,Premium Individual,Active,0,0,No,No,3,6.39,Reggae,Daily Mix,VR Concert Experience,Mobile,10,11
19701,Brazil,51,2018-08-02,Free,Inactive,5,1,Yes,No,5,7.43,Blues,Lyrics,Concert Alerts,Smart Speaker,10,9
43114,Sweden,30,2026-10-23,Premium Duo,Active,0,0,No,No,5,11.3,Jazz,Daily Mix,Offline Party Mode,Car System,6,11
27337,Egypt,51,2021-04-18,Free,Active,2,0,Yes,No,4,7.77,Pop,Discover Weekly,Offline Party Mode,Mobile,9,15
36773,Mexico,38,2020-12-30,Student,Active,1,0,Yes,No,2,17.84,Hip-Hop,Daily Mix,VR Concert Experience,Car System,10,12
3198,Indonesia,26,2026-09-06,Premium Individual,Active,0,0,No,No,4,12.79,K-Pop,Radio,HiFi Audio,Mobile,8,9
14675,Australia,32,2024-08-13,Premium Individual,Active,0,0,No,No,2,10.44,Pop,Lyrics,Lyrics Translation,Smart Speaker,7,7
5093,South Africa,41,2020-05-27,Premium Individual,Active,3,1,No,No,3,13.65,Pop,Radio,Mood-based Auto Playlists,Mobile,9,9
41665,Norway,60,2020-11-13,Premium Individual,Active,0,0,No,No,3,2.48,Ambient,Discover Weekly,Concert Alerts,Mobile,9,13
86,Saudi Arabia,54,2021-10-14,Free,Active,0,0,Yes,No,5,13.42,Ambient,Playlists,HiFi Audio,Desktop,6,11
48383,Norway,27,2024-05-02,Free,Active,1,0,Yes,Yes,2,8.48,Blues,AI DJ,Lyrics Translation,Mobile,5,14
35745,South Korea,45,2025-12-19,Free,Active,0,0,Yes,No,2,5.61,Blues,Daily Mix,VR Concert Experience,Mobile,5,12
32777,Saudi Arabia,18,2020-02-15,Premium Individual,Active,0,0,No,No,4,9.07,Techno,Daily Mix,Mood-based Auto Playlists,Mobile,12,12
49132,France,23,2021-07-26,Premium Family,Active,0,0,No,No,3,13.21,K-Pop,Daily Mix,HiFi Audio,Desktop,6,10
29704,Egypt,36,2018-11-04,Free,Inactive,6,1,No,No,5,5.89,Punk,Daily Mix,Offline Party Mode,Desktop,9,11
14881,Russia,34,2023-09-19,Free,Inactive,7,1,No,No,3,10.42,R&B,Lyrics,Better AI Recommendations,Mobile,12,12
36171,Canada,50,2023-01-06,Premium Duo,Active,0,0,Yes,Yes,4,9.03,Bollywood,Radio,Offline Party Mode,Desktop,6,10
41646,South Korea,46,2020-09-14,Premium Individual,Active,2,0,Yes,No,5,9.87,Afrobeat,Discover Weekly,Offline Party Mode,Desktop,8,7
4785,Brazil,42,2020-01-31,Free,Active,1,0,No,No,3,4.12,Latin,Lyrics,Offline Party Mode,Smart Speaker,4,9
38419,Saudi Arabia,36,2020-01-16,Free,Active,0,0,No,No,4,5.88,R&B,Daily Mix,Better AI Recommendations,Mobile,11,7
13223,Turkey,33,2020-07-29,Premium Individual,Active,1,0,No,No,4,4.37,R&B,AI DJ,Social Listening,Mobile,11,10
32853,South Korea,27,2026-12-15,Premium Individual,Active,2,0,No,No,4,5.94,Hip-Hop,Offline Mode,AI DJ,Car System,8,6
21796,Turkey,53,2022-07-30,Free,Active,0,0,No,No,3,12.41,Lo-fi,Lyrics,VR Concert Experience,Car System,9,11
122,Australia,27,2022-01-24,Premium Individual,Active,1,0,No,No,3,4.56,Techno,Radio,VR Concert Experience,Mobile,8,8
39953,Japan,27,2024-09-30,Premium Family,Active,7,1,No,No,3,8.73,Ambient,Daily Mix,Music History Analytics,Mobile,12,2
45167,South Korea,24,2021-03-12,Free,Active,1,0,No,No,5,6.67,Lo-fi,Radio,Better AI Recommendations,Desktop,9,8
32642,Russia,47,2021-01-23,Free,Active,1,0,No,No,5,11.57,Funk,Podcasts,AI DJ,Mobile,14,10
27679,Philippines,43,2023-03-10,Student,Active,2,0,No,No,5,4.2,Bollywood,Podcasts,HiFi Audio,Car System,10,9
10705,Netherlands,33,2024-02-18,Free,Active,5,1,No,No,4,19.02,Indie,Playlists,Lyrics Translation,Tablet,8,10
33462,Mexico,29,2022-01-20,Premium Individual,Active,1,0,No,No,4,12.41,Lo-fi,Offline Mode,Mood-based Auto Playlists,Desktop,8,7
22002,Turkey,57,2021-08-14,Premium Family,Active,1,0,No,No,2,4.9,Funk,Radio,Better AI Recommendations,Tablet,14,4
30171,Norway,31,2018-11-09,Free,Active,0,0,No,No,3,15.35,Synthwave,Discover Weekly,Mood-based Auto Playlists,Mobile,8,8
23961,Norway,29,2022-08-09,Premium Individual,Active,2,0,No,No,4,12.93,Lo-fi,AI DJ,HiFi Audio,Desktop,15,7
16140,Germany,29,2024-06-05,Free,Active,1,0,Yes,Yes,4,6.14,Electronic,Podcasts,AI DJ,Smart Speaker,6,10
27023,Germany,43,2022-02-20,Student,Active,0,0,No,No,4,8.41,Jazz,Discover Weekly,HiFi Audio,Smart Speaker,9,9
19075,South Korea,35,2024-12-15,Free,Active,0,0,Yes,No,5,9.97,Blues,Daily Mix,VR Concert Experience,Desktop,7,7
49285,Netherlands,46,2023-02-03,Free,Inactive,9,1,No,No,5,3.14,Indie,Offline Mode,HiFi Audio,Mobile,9,15
8599,Philippines,59,2023-07-11,Free,Inactive,5,1,No,No,3,6.73,Latin,Offline Mode,Music History Analytics,Mobile,10,10
14963,Philippines,20,2020-05-24,Free,Active,1,0,Yes,No,5,14.89,Electronic,Lyrics,Better AI Recommendations,Smart Speaker,6,12
35255,Japan,16,2024-03-06,Free,Active,1,0,Yes,No,3,11.4,Blues,Lyrics,HiFi Audio,Desktop,5,12
30636,Nigeria,60,2024-02-11,Free,Active,1,0,Yes,Yes,4,14.95,Indie,Offline Mode,Offline Party Mode,Mobile,8,14
6982,Japan,46,2023-06-01,Free,Active,1,0,No,No,2,16.24,Indie,Playlists,HiFi Audio,Mobile,4,10
5925,Nigeria,39,2021-01-04,Premium Family,Active,1,0,No,No,4,9.92,K-Pop,Playlists,Social Listening,Desktop,11,15
9591,South Africa,20,2023-11-25,Premium Individual,Active,1,0,No,No,5,10.52,Ambient,Playlists,Offline Party Mode,Desktop,5,10
23843,Netherlands,20,2019-01-18,Free,Active,2,0,Yes,No,5,7.99,Rock,Discover Weekly,Mood-based Auto Playlists,Desktop,8,14
45973,Egypt,30,2025-09-20,Student,Active,0,0,No,No,4,10.91,Folk,Podcasts,Offline Party Mode,Smart Speaker,6,11
39624,Norway,56,2023-08-28,Free,Active,5,1,Yes,No,5,3.78,Lo-fi,AI DJ,Mood-based Auto Playlists,Mobile,11,12
49154,Colombia,51,2020-06-22,Free,Active,2,0,No,No,4,5.54,Hip-Hop,Radio,VR Concert Experience,Mobile,12,10
34959,Brazil,33,2021-06-01,Free,Active,0,0,Yes,No,4,12.35,Ambient,Playlists,Music History Analytics,Desktop,9,14
36477,Australia,57,2022-12-14,Free,Inactive,3,1,No,No,2,12.99,Bollywood,Discover Weekly,Offline Party Mode,Tablet,6,8
28631,Philippines,55,2022-08-15,Premium Duo,Active,0,0,No,No,4,11.5,Reggae,Lyrics,AI DJ,Desktop,4,7
12013,Colombia,24,2020-02-09,Free,Inactive,4,1,Yes,No,1,17.29,Bollywood,Podcasts,AI DJ,Tablet,7,10
37987,Norway,23,2024-07-21,Free,Active,0,0,No,No,3,15.32,Afrobeat,Offline Mode,Better AI Recommendations,Smart Speaker,11,8
11514,Philippines,57,2024-12-24,Free,Inactive,3,1,No,No,5,4.67,Synthwave,AI DJ,VR Concert Experience,Desktop,6,7
49000,Mexico,41,2021-08-31,Premium Individual,Active,0,0,Yes,No,1,15.47,Techno,AI DJ,HiFi Audio,Mobile,6,11
7195,Sweden,52,2018-12-13,Student,Active,2,0,No,No,4,3.91,Country,Offline Mode,Vocal Remover,Smart Speaker,7,15
14163,Russia,35,2021-07-12,Free,Active,1,0,Yes,Yes,3,13.05,Bollywood,Radio,Music History Analytics,Desktop,4,6
6138,Turkey,41,2023-06-18,Premium Individual,Active,0,0,No,No,3,11.61,Indie,Playlists,Offline Party Mode,Mobile,10,8
7349,France,28,2022-08-23,Premium Individual,Inactive,6,1,Yes,No,4,3.49,Hip-Hop,Daily Mix,Mood-based Auto Playlists,Desktop,9,13
25757,Netherlands,37,2018-06-07,Free,Active,1,0,No,No,4,12.28,Jazz,Podcasts,Offline Party Mode,Desktop,8,13
40916,Netherlands,53,2023-01-01,Premium Family,Active,2,0,No,No,4,10.75,Bollywood,AI DJ,VR Concert Experience,Car System,11,12
28647,Spain,46,2022-02-04,Free,Active,2,0,No,No,5,5.83,Pop,AI DJ,Concert Alerts,Desktop,9,12
31131,Netherlands,44,2023-11-01,Free,Inactive,4,1,No,No,5,9.73,Classical,AI DJ,Offline Party Mode,Desktop,11,13
8533,Mexico,24,2021-02-05,Premium Duo,Active,3,1,No,No,4,8.15,Metal,Offline Mode,HiFi Audio,Car System,12,10
24098,Norway,34,2020-08-22,Premium Individual,Active,0,0,No,No,3,12.8,Bollywood,Radio,Offline Party Mode,Tablet,10,8
1856,UK,24,2024-03-27,Premium Individual,Inactive,6,1,No,No,3,19.37,Reggae,Podcasts,AI DJ,Car System,8,8
35376,Mexico,22,2022-04-08,Premium Individual,Active,1,0,Yes,No,2,15.02,Funk,Offline Mode,HiFi Audio,Car System,5,5
3998,Australia,40,2021-06-07,Premium Duo,Active,2,0,Yes,No,2,3.58,Bollywood,Radio,Lyrics Translation,Mobile,9,11
42189,Nigeria,43,2021-10-04,Premium Duo,Inactive,6,1,No,No,4,7.19,Electronic,Lyrics,HiFi Audio,Desktop,8,7
33695,Saudi Arabia,57,2022-10-11,Free,Active,2,0,No,No,4,11.75,Folk,Discover Weekly,Social Listening,Mobile,6,9
1614,South Korea,17,2020-12-15,Premium Individual,Active,0,0,Yes,No,3,14.92,Afrobeat,Daily Mix,AI DJ,Car System,6,7
9406,South Africa,32,2020-11-24,Free,Inactive,5,1,Yes,Yes,4,11.26,Pop,Discover Weekly,Better AI Recommendations,Mobile,4,13
5965,Mexico,39,2022-11-15,Premium Individual,Inactive,4,1,No,No,4,10.97,Rock,Radio,AI DJ,Desktop,8,10
20232,Egypt,27,2023-01-16,Premium Family,Active,0,0,No,No,3,8.86,Soul,Podcasts,Better AI Recommendations,Desktop,5,7
23970,Brazil,17,2021-10-13,Free,Active,1,0,No,No,4,6.54,Country,Playlists,HiFi Audio,Mobile,3,8
36012,Russia,30,2020-12-25,Student,Active,0,0,No,No,5,10.63,Techno,Offline Mode,Song Identification,Mobile,14,12
23080,Thailand,28,2023-05-23,Free,Inactive,7,1,Yes,No,2,18.14,Electronic,Playlists,HiFi Audio,Smart Speaker,13,11
44926,Egypt,30,2025-01-07,Student,Active,0,0,Yes,No,4,5.86,Indie,Offline Mode,Concert Alerts,Desktop,5,12
9001,Vietnam,47,2020-05-24,Premium Duo,Inactive,4,1,No,No,4,14.26,Jazz,AI DJ,AI DJ,Car System,3,13
49514,Indonesia,25,2022-09-16,Free,Active,0,0,No,No,3,13.93,Country,AI DJ,Music History Analytics,Desktop,5,10
49825,Russia,45,2020-02-23,Free,Inactive,8,1,Yes,No,3,6.55,Synthwave,Radio,Mood-based Auto Playlists,Smart Speaker,13,7
17543,Italy,53,2022-11-02,Premium Family,Active,0,0,No,No,3,13.9,Punk,Discover Weekly,Music History Analytics,Desktop,10,5
39447,Egypt,40,2020-06-25,Premium Duo,Active,0,0,No,No,1,12.76,K-Pop,Lyrics,Concert Alerts,Desktop,8,12
24863,Egypt,47,2023-12-11,Premium Duo,Active,0,0,No,No,4,5.58,Blues,Podcasts,Offline Party Mode,Desktop,8,9
30026,Norway,47,2018-09-30,Free,Active,2,0,No,No,2,11.01,Lo-fi,AI DJ,AI DJ,Desktop,5,10
20040,South Africa,23,2020-07-19,Premium Duo,Inactive,3,1,Yes,No,3,12.44,Jazz,Podcasts,Better AI Recommendations,Tablet,7,14
34114,Turkey,28,2022-09-28,Premium Individual,Inactive,5,1,Yes,No,1,15.3,Pop,Playlists,Better AI Recommendations,Mobile,10,10
19872,Turkey,57,2026-11-07,Free,Active,0,0,Yes,No,1,7.06,Blues,Radio,AI DJ,Smart Speaker,7,8
7018,India,32,2021-08-14,Premium Family,Inactive,3,1,Yes,Yes,5,11.88,Classical,Discover Weekly,Offline Party Mode,Mobile,11,4
16018,Japan,49,2023-07-29,Free,Inactive,6,1,No,No,5,6.95,Bollywood,Daily Mix,HiFi Audio,Desktop,4,13
1476,Brazil,49,2022-02-16,Free,Inactive,5,1,Yes,No,1,11.8,Hip-Hop,Offline Mode,Lyrics Translation,Desktop,3,12
35041,South Korea,35,2018-01-05,Free,Inactive,3,1,No,No,1,17.77,Reggae,Playlists,VR Concert Experience,Smart Speaker,6,10
37319,South Korea,54,2023-08-18,Free,Active,0,0,No,No,1,6.91,Classical,Radio,Lyrics Translation,Mobile,7,9
4758,Indonesia,32,2022-11-10,Premium Individual,Active,0,0,No,No,5,8.25,Funk,Daily Mix,Offline Party Mode,Tablet,8,16
26697,Brazil,51,2020-05-25,Premium Family,Active,0,0,No,No,1,5.2,Latin,Offline Mode,HiFi Audio,Mobile,8,8
2451,Egypt,32,2022-01-11,Free,Active,0,0,No,No,5,12.68,Indie,Daily Mix,Lyrics Translation,Mobile,12,15
38703,Norway,46,2026-06-13,Premium Family,Inactive,3,1,No,No,3,11.6,Rock,Radio,Collaborative Live Queues,Mobile,9,14
31970,Japan,16,2021-04-05,Premium Individual,Inactive,4,1,No,No,4,4.14,Indie,Podcasts,AI DJ,Tablet,10,10
34070,Saudi Arabia,31,2024-10-16,Free,Active,0,0,Yes,No,4,18.09,J-Pop,AI DJ,HiFi Audio,Mobile,6,9
23161,Japan,22,2020-08-30,Free,Active,1,0,No,No,1,10.98,Folk,Daily Mix,Lyrics Translation,Smart Speaker,9,4
30805,Nigeria,20,2025-10-27,Premium Individual,Active,0,0,No,No,3,5.52,Folk,Playlists,Concert Alerts,Tablet,12,10
49196,South Korea,17,2020-12-13,Free,Active,0,0,No,No,4,4.53,K-Pop,Playlists,Mood-based Auto Playlists,Desktop,11,12
13030,Netherlands,26,2020-04-23,Student,Active,0,0,No,No,4,10.99,R&B,Offline Mode,VR Concert Experience,Mobile,4,5
39591,Netherlands,56,2021-03-10,Premium Individual,Inactive,4,1,Yes,No,2,12.02,Pop,Daily Mix,HiFi Audio,Mobile,6,11
45951,Canada,39,2026-09-04,Free,Active,0,0,Yes,No,2,4.17,Techno,Podcasts,AI DJ,Desktop,5,9
